protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNPS4COMM,LDSR,DIPDMA,RCERVA1_ANGOTURA_PLCO_FTNC,RCERVA1_ANGOTURA_PLCO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,SRMX,RCERVA1_ANGOSTURA_ACAT_FTNC,RCERVA1_ANGOSTURA_ACAT_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM1,LDSR,DIPDMA,IIBANA_AHOME_STRO_FTNC,IIBANA_AHOME_STRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PUCCSO,IIBANA_GUASAVE_PARR_FTNC,IIBANA_GUASAVE_PARR_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,1.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,TARSC,RCERVA1_CULIACAN_GUAM_FTNC,RCERVA1_CULIACAN_GUAM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,SDP,SRMX,RCERVA1_CULIACAN_GUAM_FTNC,RCERVA1_CULIACAN_GUAM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,SETOTU,IIBANA_GUASAVE_CAGR_FTNC,IIBANA_GUASAVE_CAGR_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,1.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PUCCSO,RCERVA1_CULIACAN_QUEM_FTNC,RCERVA1_CULIACAN_QUEM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,RCERVA1_CULIACAN_QUEM_FTNC,RCERVA1_CULIACAN_QUEM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,SRMX,RCERVA1_CULIACAN_QUEM_FTNC,RCERVA1_CULIACAN_QUEM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PUCCSO,CTCER_CULIACAN_QULA_FTNC,CTCER_CULIACAN_QULA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PUCCSO,IIBANA_GUASAVE_PABL_FTNC,IIBANA_GUASAVE_PABL_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNCOMM1,SDP,FUSASP,IIBANA_AHOME_STRO_FTNC,IIBANA_AHOME_STRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,IIBANA_AHOME_BAGO_FTNC,IIBANA_AHOME_BAGO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,TARSC,RCERVA1_ANGOTURA_PLCO_FTNC,RCERVA1_ANGOTURA_PLCO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNM1GEOAP,SDP,FUSASP,IIBANA_GUASAVE_LA17_FTNGEO,IIBANA_GUASAVE_LA17_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM1,SDP,ZZXXFF,IIBANA_AHOME_STRO_FTNC,IIBANA_AHOME_STRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PHYRMA,RCERVA1_CULIACAN_AGRO_FTNC,RCERVA1_CULIACAN_AGRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNM1GEOBP,LDSR,PUCCSO,RCERVA1_CULIACAN_TAMA_FTNGEO,RCERVA1_CULIACAN_TAMA_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,4.0,DELFIN,DELFIN
FTN,FTNPS4COMM,YLD,N/A,IIBANA_AHOME_BCHM2_FTNC,IIBANA_AHOME_BCHM2_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,128.330206,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,RCERVA1_ANGOSTURA_IGNA_FTNC,RCERVA1_ANGOSTURA_IGNA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,SRMX,RCERVA1_CULIACAN_EURE_FTNC,RCERVA1_CULIACAN_EURE_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,TARSC,RCERVA1_ANGOSTURA_ANGO_FTNC,RCERVA1_ANGOSTURA_ANGO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNM1GEOBP,LDSR,PUCCSO,IIBANA_GUASAVE_LA17_FTNGEO,IIBANA_GUASAVE_LA17_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,1.0,DELFIN,DELFIN
FTN,FTNCOMM1,LDSR,TARSC,IIBANA_AHOME_BCHM1_FTNC,IIBANA_AHOME_BCHM1_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,SDP,ZZXXFF,IIBANA_GUASAVE_GUAY_FTNC,IIBANA_GUASAVE_GUAY_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,RCERVA1_ANGOSTURA_PALM_FTNC,RCERVA1_ANGOSTURA_PALM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,RCERVA1_CULIACAN_CORI_FTNC,RCERVA1_CULIACAN_CORI_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PHYRMA,IIBANA_AHOME_BCHM2_FTNC,IIBANA_AHOME_BCHM2_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,DIPDMA,RCERVA1_ANGOSTURA_ACAT_FTNC,RCERVA1_ANGOSTURA_ACAT_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,SETOTU,IIBANA_GUASAVE_LA17_FTNC,IIBANA_GUASAVE_LA17_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,1.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,RCERVA1_NAVOLATO_ILUC_FTNC,RCERVA1_NAVOLATO_ILUC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,SRMX,RCERVA1_CULIACAN_TAMA_FTNC,RCERVA1_CULIACAN_TAMA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,YLD,N/A,RCERVA1_NAVOLATO_BACH_FTNC,RCERVA1_NAVOLATO_BACH_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,171.630506,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,SETOTU,IIBANA_GUASAVE_RRCC_FTNC,IIBANA_GUASAVE_RRCC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,FUSASP,RCERVA1_CULIACAN_QUEM_FTNC,RCERVA1_CULIACAN_QUEM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNM1GEOBP,SDP,FUSASP,IIBANA_GUASAVE_LA17_FTNGEO,IIBANA_GUASAVE_LA17_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,YLD,N/A,IIBANA_AHOME_AGNU_FTNC,IIBANA_AHOME_AGNU_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,117.947299,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,IIBANA_GUASAVE_PARR_FTNC,IIBANA_GUASAVE_PARR_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,4.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,DIPDMA,RCERVA1_CULIACAN_CORI_FTNC,RCERVA1_CULIACAN_CORI_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,FUSASP,RCERVA1_NAVOLATO_SANP_FTNC,RCERVA1_NAVOLATO_SANP_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNSSCOMM,YLD,N/A,IIBANA_SINALOA_BAMO_FTNC,IIBANA_SINALOA_BAMO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,125.18501,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PUCCSO,MAFELIX_CAJEME_CATR_FTNC,MAFELIX_CAJEME_CATR_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNCOMM1,LDSR,TARSC,IIBANA_AHOME_SNJA_FTNC,IIBANA_AHOME_SNJA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,FUSASP,IIBANA_AHOME_CCHE_FTNC,IIBANA_AHOME_CCHE_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,CTCER_ELOTA_CRUZ_FTNC,CTCER_ELOTA_CRUZ_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,RCERVA1_CULIACAN_RECO_FTNC,RCERVA1_CULIACAN_RECO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PUCCSO,RCERVA1_CULIACAN_RECO_FTNC,RCERVA1_CULIACAN_RECO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,YLD,N/A,MAFELIX_ELFUERTE_ARRO_FTNC,MAFELIX_ELFUERTE_ARRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,89.457737,DELFIN,DELFIN
FTN,FTNCOMM1,LDSR,SETOTU,IIBANA_AHOME_SNJA_FTNC,IIBANA_AHOME_SNJA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNCOMM1,LDSR,TARSC,IIBANA_AHOME_STRO_FTNC,IIBANA_AHOME_STRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM1,SDP,ZZXXFF,IIBANA_AHOME_BCHM1_FTNC,IIBANA_AHOME_BCHM1_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,IIBANA_AHOME_PORV_FTNC,IIBANA_AHOME_PORV_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PUCCSO,IIBANA_AHOME_PORV_FTNC,IIBANA_AHOME_PORV_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,3.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,SRMX,RCERVA1_NAVOLATO_SATA_FTNC,RCERVA1_NAVOLATO_SATA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,TARSC,RCERVA1_ANGOSTURA_IGNA_FTNC,RCERVA1_ANGOSTURA_IGNA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,SETOTU,RCERVA1_CULIACAN_AGRO_FTNC,RCERVA1_CULIACAN_AGRO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PUCCSO,IIBANA_GUASAVE_RRCC_FTNC,IIBANA_GUASAVE_RRCC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,1.0,DELFIN,DELFIN
FTN,FTNCOMM2,YLD,N/A,MAFELIX_AHOME_CHIC_FTNC,MAFELIX_AHOME_CHIC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,120.716634,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PUCCSO,RCERVA1_CULIACAN_GUAM_FTNC,RCERVA1_CULIACAN_GUAM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,4.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,TARSC,IIBANA_GUASAVE_LA17_FTNC,IIBANA_GUASAVE_LA17_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,3.0,DELFIN,DELFIN
FTN,FTNCOMM2,YLD,N/A,RCERVA1_CULIACAN_TAMA_FTNC,RCERVA1_CULIACAN_TAMA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,122.599989,DELFIN,DELFIN
