env_index,trait,commercialName,media,lower.CL,upper.CL,letra_tukey,rank,periodo
,SDP_FUSASP,HIPOPOTAMO,16.6086956521739,12.3936558973313,20.8237354070165,  bc,3,2023
,SDP_FUSASP,DK5021,18.195652173913,13.9806124190704,22.4106919287556,  bc,3,2023
,SDP_FUSASP,DK4050,18.3913043478261,14.1762645929835,22.6063441026687,  bc,3,2023
,SDP_FUSASP,MX8438,19,14.7849602451574,23.2150397548426,  bc,3,2023
,SDP_FUSASP,MX8432,21.4565217391304,17.2414819842878,25.671561493973,   c,4,2023
,SDP_FUSASP,MX8436,22.2608695652174,18.0458298103748,26.47590932006,   c,4,2023
,LDSR_PUCCSO,VY8503,1.5,1.04783193732217,1.95216806267783, a  ,1,2023
,LDSR_PUCCSO,CALAMAR,1.8,1.34783193732217,2.25216806267783, ab ,2,2023
,LDSR_PUCCSO,VX8614,2.1,1.64783193732217,2.55216806267783, abc,3,2023
,LDSR_PUCCSO,MX8639,2.2,1.74783193732217,2.65216806267783, abc,3,2023
,LDSR_PUCCSO,P3274W,2.2,1.74783193732217,2.65216806267783, abc,3,2023
,LDSR_PUCCSO,MX8432,2.3,1.84783193732217,2.75216806267783, abc,3,2023
,LDSR_PUCCSO,MX8438,2.3,1.84783193732217,2.75216806267783, abc,3,2023
,LDSR_PUCCSO,P3270W,2.5,2.04783193732217,2.95216806267783, abc,3,2023
,LDSR_PUCCSO,VY8502,2.5,2.04783193732217,2.95216806267783, abc,3,2023
,LDSR_PUCCSO,HIPOPOTAMO,2.6,2.14783193732217,3.05216806267783,  bc,4,2023
,LDSR_PUCCSO,MY8509,2.6,2.14783193732217,3.05216806267783,  bc,4,2023
,LDSR_PUCCSO,MX8436,2.8,2.34783193732217,3.25216806267783,  bc,4,2023
,LDSR_PUCCSO,DK5021,2.9,2.44783193732217,3.35216806267783,   c,5,2023
,LDSR_PUCCSO,DK4050,3.1,2.64783193732217,3.55216806267783,   c,5,2023
<130,YLD,CALAMAR,108.754431125549,104.111145308024,113.397716943074,   c,1,2017-23
<130,YLD,DK4050,111.75141913111,107.758891690248,115.743946571972,   c,1,2017-23
<130,YLD,DK5021,111.227687777037,107.208623762392,115.246751791682,   c,1,2017-23
<130,YLD,HIPOPOTAMO,115.831079981406,111.86418713187,119.797972830942,   c,1,2017-23
<130,YLD,MX8639,117.275103016204,112.52330433987,122.026901692539,   c,1,2017-23
<130,YLD,P3270W,108.587449941406,104.62055709187,112.554342790942,   c,1,2017-23
<130,YLD,P3274W,109.911707275838,105.217272416676,114.606142135001,   c,1,2017-23
130-160,YLD,CALAMAR,144.436979571756,139.945853208486,148.928105935025,  b ,1,2017-23
130-160,YLD,DK4050,145.503348333333,142.144437633903,148.862259032764,  b ,1,2017-23
130-160,YLD,DK5021,145.350732492363,141.891457056197,148.81000792853,  b ,1,2017-23
130-160,YLD,HIPOPOTAMO,147.695836072464,144.336925373033,151.054746771894,  b ,1,2017-23
130-160,YLD,MX8639,154.301036546059,149.624717193444,158.977355898674,  b ,1,2017-23
130-160,YLD,P3270W,140.314589072464,136.955678373033,143.673499771894,  b ,1,2017-23
130-160,YLD,P3274W,136.107792949313,131.671686185377,140.543899713249,  b ,1,2017-23
>160,YLD,CALAMAR,173.86982135608,166.302941708265,181.436701003894, a  ,1,2017-23
>160,YLD,DK4050,170.843582816332,164.956735823357,176.730429809306, a  ,1,2017-23
>160,YLD,DK5021,170.764120675117,164.793070183486,176.735171166747, a  ,1,2017-23
>160,YLD,HIPOPOTAMO,171.379034816331,165.492187823357,177.265881809306, a  ,1,2017-23
>160,YLD,MX8639,175.616918565857,167.775760775073,183.45807635664, a  ,1,2017-23
>160,YLD,P3270W,168.145828251114,162.25898125814,174.032675244088, a  ,1,2017-23
>160,YLD,P3274W,170.075679318145,162.234521527361,177.916837108928, a  ,1,2017-23
