protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,126.074556,P3270W,P3270W
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,137.972781,P3274W,P3274W
FTN,FTNME1HTW,SDP,ZZXXFF,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,8.0,P3274W,P3274W
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,133.12,DK4050,DK4050
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,121.331987,DK5021,DK5021
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,127.717426,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,93.360351,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,129.768363,MX8639,MX8639
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,106.524413,VX8614,VX8614
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,113.415897,VY8502,VY8502
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,113.631695,VY8503,VY8503
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,106.091308,MX8432,MX8432
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,113.338858,MX8436,MX8436
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,117.649191,MX8438,MX8438
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,120.350109,MY8509,MY8509
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,125.286255,P3270W,P3270W
FTN,FTNME1HTW,YLD,N/A,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,79.214843,P3274W,P3274W
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,148.762042,DK4050,DK4050
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,161.917767,DK5021,DK5021
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,164.102564,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,146.758262,CALAMAR,CALAMAR
